"id","DC_FC_Assets_Type","DC_FC_Assets_Name","SQL_FC_Account_ID","SQL_Heading_Sequence","SQL_Sequence","SQL_Account_Name_Code","SQL_Account_Name","SQL_Account_Category_Order_Code","SQL_Account_Category_Order","SUB_Account_Category_Order_Code","SUB_Account_Category_Order","SQL_Account_Group_Name_Code","SQL_Account_Group_Name","Accountnumber_ID","January","February","March","April","May","June","July","August","September","October","November","December","Total","Account_Year","SQL_Property","updated_at"
"128","UNDISTRIBUTED OPERATING EXPENSES","SALES & MARKETING","FC_sales_and_marketing_hginnb_5_11_undistributed_operating_expenses","5","5.3","IS.2","Undistributed Expenses","IS.2.6","Sales & Marketing",,,,,"FC_sales_and_marketing_hginnb_5_11_undistributed_operating_expenses","68731.00","92882.00","127016.00","151713.00","155655.00","163940.00","133509.00","121280.00","171053.00","171416.00","143608.00","118202.00","1619005.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"129","UNDISTRIBUTED OPERATING EXPENSES","PROPERTY OPERATIONS & MAINTENANCE","FC_property_operations_and_maintenance_hginnb_5_11_undistributed_operating_expenses","5","5.4","IS.2","Undistributed Expenses","IS.2.7","Maintenance",,,,,"FC_property_operations_and_maintenance_hginnb_5_11_undistributed_operating_expenses","67463.00","51997.00","36456.00","54814.00","47609.00","40765.00","36243.00","35591.00","35804.00","36340.00","35883.00","35786.00","514751.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"130","UNDISTRIBUTED OPERATING EXPENSES","UTILITIES","FC_utilities_hginnb_5_11_undistributed_operating_expenses","5","5.5","IS.2","Undistributed Expenses","IS.2.14","Utilities",,,,,"FC_utilities_hginnb_5_11_undistributed_operating_expenses","40984.00","48673.00","44922.00","38863.00","31380.00","49988.00","46530.00","38706.00","40779.00","35704.00","37812.00","29238.00","483578.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"131","UNDISTRIBUTED OPERATING EXPENSES","GROSS OPERATING PROFIT","FC_gross_operating_profit_hginnb_5_11_undistributed_operating_expenses","6","6.1","IS.3","Gross Operating Profit","IS.3.1","GOP",,,,,"FC_gross_operating_profit_hginnb_5_11_undistributed_operating_expenses","-78638.00","76975.00","404913.00","470365.00","532917.00","384964.00","291691.00","227609.00","556595.00","583433.00","395341.00","198486.00","4044651.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"132","UNDISTRIBUTED OPERATING EXPENSES","MANAGEMENT FEES","FC_management_fees_hginnb_5_11_undistributed_operating_expenses","7","7.1","IS.2","Management Fees","IS.2.13","Management Fees",,,,,"FC_management_fees_hginnb_5_11_undistributed_operating_expenses","9074.00","13626.00","25400.00","30041.00","32034.00","27238.00","22446.00","20008.00","33172.00","33984.00","27132.00","18815.00","292970.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"133","NON-OPERATING INCOME & EXPENSES","RENT & OTHER PROPERTY/EQUIPMENT","FC_rent_and_other_property_equipment_hginnb_5_11_non-operating_income_and_expenses","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_rent_and_other_property_equipment_hginnb_5_11_non-operating_income_and_expenses","475.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","475.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"134","NON-OPERATING INCOME & EXPENSES","PROPERTY & OTHER TAXES","FC_property_and_other_taxes_hginnb_5_11_non-operating_income_and_expenses","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes",,,,,"FC_property_and_other_taxes_hginnb_5_11_non-operating_income_and_expenses","27900.00","27900.00","18959.00","30881.00","31181.00","31985.00","31807.00","31807.00","31807.00","31807.00","31807.00","31807.00","359648.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"135","NON-OPERATING INCOME & EXPENSES","INSURANCE","FC_insurance_hginnb_5_11_non-operating_income_and_expenses","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance",,,,,"FC_insurance_hginnb_5_11_non-operating_income_and_expenses","-4826.00","13592.00","13590.00","13585.00","13591.00","13594.00","14482.00","14482.00","14482.00","15293.00","15655.00","15655.00","153174.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"136","NON-OPERATING INCOME & EXPENSES","EBITDA","FC_ebitda_hginnb_5_11_non-operating_income_and_expenses","9","9","IS.3","EBITDA","IS.3.2","EBITDA",,,,,"FC_ebitda_hginnb_5_11_non-operating_income_and_expenses","-111262.00","21856.00","346965.00","395859.00","456111.00","312149.00","222956.00","161312.00","477134.00","502350.00","320746.00","132209.00","3238384.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"137","INTEREST, DEPRECIATION & AMORTIZATION","INTEREST","FC_interest_hginnb_5_11_interest,_depreciation_and_amortization","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_interest_hginnb_5_11_interest,_depreciation_and_amortization","0.00","152.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","152.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"138","INTEREST, DEPRECIATION & AMORTIZATION","DEPRECIATION","FC_depreciation_hginnb_5_11_interest,_depreciation_and_amortization","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_depreciation_hginnb_5_11_interest,_depreciation_and_amortization","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"139","INTEREST, DEPRECIATION & AMORTIZATION","AMORTIZATION","FC_amortization_hginnb_5_11_interest,_depreciation_and_amortization","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)",,,,,"FC_amortization_hginnb_5_11_interest,_depreciation_and_amortization","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"140","INTEREST, DEPRECIATION & AMORTIZATION","REPLACEMENT RESERVE","FC_replacement_reserve_hginnb_5_11_interest,_depreciation_and_amortization","10","10","IS.2","Replacement Reserve","IS.2.12","Replacement Reserve",,,,,"FC_replacement_reserve_hginnb_5_11_interest,_depreciation_and_amortization","27757.00","23117.00","25437.00","25437.00","25437.00","25437.00","25688.00","25688.00","25688.00","25688.00","25688.00","25688.00","306750.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"141","INTEREST, DEPRECIATION & AMORTIZATION","NOI AFTER RESERVE","FC_noi_after_reserve_hginnb_5_11_interest,_depreciation_and_amortization","11","11.1","IS.3","NOI after Reserve","IS.3.3","NOI after Reserve",,,,,"FC_noi_after_reserve_hginnb_5_11_interest,_depreciation_and_amortization","-139019.00","-1413.00","321528.00","370422.00","430674.00","286712.00","197268.00","135624.00","451446.00","476662.00","295058.00","106521.00","2931482.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"142",,"Total Operating Income","calc_FC_total_operating_income_hginnb_5_11","2","2.5","IS.1","Revenue","IS.1.5","Total Operating Income",,,,,"calc_FC_total_operating_income_hginnb_5_11","302472.00","455618.00","848836.00","1001267.00","1071116.00","907920.00","627820.00","433262.00","934905.00","926589.00","678654.00","528218.00","0.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"143",,"Total Department Expense","calc_FC_total_department_expense_hginnb_5_11","3","3.5","IS.2","Department Expenses","IS.2.5","Total Department Expense",,,,,"calc_FC_total_department_expense_hginnb_5_11","142050.00","126964.00","179180.00","215065.00","225298.00","217276.00","138717.00","133178.00","173171.00","171030.00","180062.00","178800.00","0.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"144",,"Department Profit (Loss)","calc_FC_department_profit_loss_hginnb_5_11","4","4.1","IS.4","Department Profit (Loss","IS.4.1","Department Profit (Loss)",,,,,"calc_FC_department_profit_loss_hginnb_5_11","160422.00","328654.00","669656.00","786202.00","845819.00","690644.00","489103.00","300084.00","761733.00","755559.00","498592.00","349418.00","0.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"145",,"Total Undistributed Expenses","calc_FC_total_undistributed_expenses_hginnb_5_11","5","5.6","IS.5","Undistributed Expenses","IS.5.6","Total Undistributed Expenses",,,,,"calc_FC_total_undistributed_expenses_hginnb_5_11","238707.00","251679.00","264742.00","315837.00","312902.00","305680.00","260220.00","239359.00","272926.00","316705.00","235111.00","219873.00","0.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"146",,"GOP Margin","calc_FC_gop_margin_hginnb_5_11","6","6.2","IS.3","Gross Operating Profit","IS.3.5","GOP Margin",,,,,"calc_FC_gop_margin_hginnb_5_11","-25.88","16.89","47.70","46.98","49.75","42.40","36.46","14.02","52.28","47.36","38.82","24.52","0.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"147",,"Income before Non-Operating Inc&Exp","calc_FC_income_before_non-operating_incexp_hginnb_5_11","7","7.2","IS.7","Income Before Non-Operating Inc & Exp","IS.7.1","Income before Non-Operating Inc&Exp",,,,,"calc_FC_income_before_non-operating_incexp_hginnb_5_11","-87359.00","63348.00","375092.00","440325.00","465884.00","353615.00","208243.00","37582.00","472506.00","411056.00","243062.00","113257.00","0.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"148",,"Total Non-Operating Income & Expenses","calc_FC_total_non-operating_income_and_expenses_hginnb_5_11","8","8.4","IS.8","Total Non-Operating Income & Expenses","IS.8.4","Total Non-Operating Income & Expenses",,,,,"calc_FC_total_non-operating_income_and_expenses_hginnb_5_11","23550.00","41492.00","32549.00","44466.00","44772.00","45578.00","41022.00","49541.00","61897.00","61418.00","47462.00","47462.00","0.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"149",,"NOI Margin","calc_FC_noi_margin_hginnb_5_11","11","11.2","IS.11","NOI Margin","IS.11.1","NOI Margin",,,,,"calc_FC_noi_margin_hginnb_5_11","-36.67","4.80","40.35","39.54","39.32","33.93","26.64","-2.76","43.92","37.73","28.82","12.46","0.00","2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"150",,"TTL AVAILABLE ROOMS","FC_ttl_available_rooms_mwdcd_4_3","1","1.1","OD.1","Operational Data","OD.1.1","Available Rooms",,,,,"FC_ttl_available_rooms_mwdcd_4_3","6200.00","5800.00","6200.00","6000.00","6200.00","6000.00","6200.00","6200.00","6000.00","6200.00","6000.00","6200.00","73200.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"151",,"TTL ROOMS SOLD","FC_ttl_rooms_sold_mwdcd_4_3","1","1.2","OD.1","Operational Data","OD.1.2","Rooms Sold",,,,,"FC_ttl_rooms_sold_mwdcd_4_3","4003.00","4124.00","5272.00","5250.00","5353.00","5001.00","4610.00","4742.00","5169.00","4882.00","4167.00","4410.00","56983.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"152",,"OCCUPANCY","FC_occupancy_mwdcd_4_3","1","1.3","OD.1","Operational Data","OD.1.3","Occupancy %",,,,,"FC_occupancy_mwdcd_4_3","64.60","71.10","85.00","87.50","86.30","83.40","74.40","76.50","86.20","78.70","69.50","71.10","77.80","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"153",,"AVERAGE DAILY RATE","FC_average_daily_rate_mwdcd_4_3","1","1.4","OD.1","Operational Data","OD.1.4","Average Rate",,,,,"FC_average_daily_rate_mwdcd_4_3","165.12","185.68","277.79","288.62","262.44","239.59","187.38","160.03","254.57","295.15","196.44","172.62","227.59","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"154",,"TOTAL REVPAR","FC_total_revpar_mwdcd_4_3","1","1.5","OD.1","Operational Data","OD.1.5","RevPar",,,,,"FC_total_revpar_mwdcd_4_3","112.99","140.17","248.22","264.01","239.00","209.12","148.87","130.85","229.96","242.24","145.58","130.87","186.80","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"155","OPERATING REVENUE","Rooms","FC_rooms_mwdcd_4_3_operating_revenue","2","2.1","IS.1","Revenue","IS.1.1","Room Revenue","IS.1.1.1","Rooms",,,"FC_rooms_mwdcd_4_3_operating_revenue","660959.00","765754.00","1464514.00","1515240.00","1404816.00","1198213.00","863837.00","758858.00","1315862.00","1440920.00","818559.00","761266.00","12968799.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"156","OPERATING REVENUE","Food & Beverage","FC_food_and_beverage_mwdcd_4_3_operating_revenue","2","2.2","IS.1","Revenue","IS.1.2","F&B Revenue","IS.1.2.1","Food & Beverage",,,"FC_food_and_beverage_mwdcd_4_3_operating_revenue","25558.00","34161.00","55133.00","43193.00","54938.00","42652.00","38725.00","33481.00","38126.00","42537.00","37671.00","31926.00","478100.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"157","OPERATING REVENUE","Other Operated Departments","FC_other_operated_departments_mwdcd_4_3_operating_revenue","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue","IS.1.3.1","Total Other Operated Departments",,,"FC_other_operated_departments_mwdcd_4_3_operating_revenue","14028.00","13076.00","19290.00","25648.00","22042.00","13870.00","20430.00","18925.00","25791.00","18432.00","17236.00","18232.00","227001.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"158","DEPARTMENTAL EXPENSES","Rooms","FC_rooms_mwdcd_4_3_departmental_expenses","3","3.1","IS.2","Department Expenses","IS.2.1","Room Expense","IS.2.1.13","Hourly Wages",,,"FC_rooms_mwdcd_4_3_departmental_expenses","154004.00","155544.00","148020.00","201492.00","163296.00","170385.00","194505.00","204303.00","164888.00","144926.00","142431.00","151916.00","1995708.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"159","DEPARTMENTAL EXPENSES","Food & Beverage","FC_food_and_beverage_mwdcd_4_3_departmental_expenses","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"FC_food_and_beverage_mwdcd_4_3_departmental_expenses","29598.00","30345.00","31156.00","33866.00","41000.00","17037.00","13943.00","25089.00","18478.00","38357.00","27536.00","26911.00","333316.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"160","DEPARTMENTAL EXPENSES","Other Operated Departments","FC_other_operated_departments_mwdcd_4_3_departmental_expenses","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense","IS.2.3.1","Other Expense",,,"FC_other_operated_departments_mwdcd_4_3_departmental_expenses","4963.00","3742.00","5037.00","5493.00","5119.00","7906.00","7549.00","3637.00","4154.00","3831.00","5000.00","5292.00","61723.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"161","UNDISTRIBUTED OPERATING EXPENSES","Administrative & General","FC_administrative_and_general_mwdcd_4_3_undistributed_operating_expenses","5","5.1","IS.2","Undistributed Expenses","IS.2.4","A&G Expense","IS.2.4.1","Administrative & General",,,"FC_administrative_and_general_mwdcd_4_3_undistributed_operating_expenses","75403.00","86322.00","106086.00","98149.00","104923.00","100520.00","97959.00","87965.00","93926.00","102171.00","78110.00","77616.00","1109146.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"162","UNDISTRIBUTED OPERATING EXPENSES","Information & Telecommunications Sys.","FC_information_and_telecommunications_sys._mwdcd_4_3_undistributed_operating_expenses","5","5.2","IS.2","Undistributed Expenses","IS.2.5","Information & Telecommunications","IS.2.5.8","TOTAL I&TS CONT.",,,"FC_information_and_telecommunications_sys._mwdcd_4_3_undistributed_operating_expenses","10442.00","11446.00","10950.00","10023.00","11916.00","13821.00","6068.00","11012.00","10518.00","10525.00","8614.00","8614.00","123949.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"163","UNDISTRIBUTED OPERATING EXPENSES","Sales & Marketing","FC_sales_and_marketing_mwdcd_4_3_undistributed_operating_expenses","5","5.3","IS.2","Undistributed Expenses","IS.2.6","Sales & Marketing","IS.2.6.1","Sales & Marketing",,,"FC_sales_and_marketing_mwdcd_4_3_undistributed_operating_expenses","120565.00","122071.00","190062.00","211690.00","246245.00","179667.00","146154.00","139401.00","185420.00","208670.00","132319.00","130724.00","2012988.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"164","UNDISTRIBUTED OPERATING EXPENSES","Property Operations & Maintenance","FC_property_operations_and_maintenance_mwdcd_4_3_undistributed_operating_expenses","5","5.4","IS.2","Undistributed Expenses","IS.2.7","Maintenance","IS.2.7.5","Hourly Wages",,,"FC_property_operations_and_maintenance_mwdcd_4_3_undistributed_operating_expenses","37522.00","24208.00","34163.00","36901.00","26237.00","52668.00","50311.00","47666.00","41221.00","32754.00","38507.00","38844.00","461003.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"165","UNDISTRIBUTED OPERATING EXPENSES","Energy Costs","FC_energy_costs_mwdcd_4_3_undistributed_operating_expenses","5","5.5","IS.2","Undistributed Expenses","IS.2.14","Utilities","IS.2.14.1","Utilities",,,"FC_energy_costs_mwdcd_4_3_undistributed_operating_expenses","27400.00","19179.00","22116.00","24810.00","27548.00","30854.00","28713.00","32883.00","30883.00","26952.00","25960.00","27204.00","324502.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"166","UNDISTRIBUTED OPERATING EXPENSES","Gross Operating Profit (GOP)","FC_gross_operating_profit_gop_mwdcd_4_3_undistributed_operating_expenses","6","6.1","IS.3","Gross Operating Profit","IS.3.1","GOP","IS.3.1.1","Gross Operating Profit",,,"FC_gross_operating_profit_gop_mwdcd_4_3_undistributed_operating_expenses","238863.00","364124.00","989144.00","961657.00","855512.00","681879.00","377789.00","259310.00","830293.00","933451.00","414989.00","344303.00","7251312.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"167","UNDISTRIBUTED OPERATING EXPENSES","Management Fees","FC_management_fees_mwdcd_4_3_undistributed_operating_expenses","7","7.1","IS.2","Management Fees","IS.2.13","Management Fees","IS.2.13.1","Management Fees",,,"FC_management_fees_mwdcd_4_3_undistributed_operating_expenses","21018.00","24393.00","46546.00","47140.00","44454.00","37643.00","27690.00","24635.00","41459.00","45396.00","26204.00","24343.00","410919.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"168","Non-Operating Income & Expenses","Rent","FC_rent_mwdcd_4_3_non-operating_income_and_expenses","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.2","Rent",,,"FC_rent_mwdcd_4_3_non-operating_income_and_expenses","383.00","372.00","382.00","416.00","387.00","333.00","499.00","366.00","495.00","29.00","488.00","488.00","4637.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"169","Non-Operating Income & Expenses","Property & Other taxes","FC_property_and_other_taxes_mwdcd_4_3_non-operating_income_and_expenses","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes","IS.2.8.11","Property & Other Taxes",,,"FC_property_and_other_taxes_mwdcd_4_3_non-operating_income_and_expenses","59507.00","59507.00","59507.00","61804.00","61804.00","76276.00","68911.00","68190.00","63355.00","60855.00","64825.00","64825.00","769364.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"170","Non-Operating Income & Expenses","Insurance","FC_insurance_mwdcd_4_3_non-operating_income_and_expenses","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance","IS.2.8.13","Insurance General",,,"FC_insurance_mwdcd_4_3_non-operating_income_and_expenses","14049.00","16665.00","17838.00","6008.00","27321.00","16665.00","16665.00","17076.00","16665.00","16665.00","16386.00","16386.00","198387.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"171","Non-Operating Income & Expenses","Other","FC_other_mwdcd_4_3_non-operating_income_and_expenses","8","8.3","IS.2","Non-Operating Income & Expenses","IS.2.8","Other (Non-Operating I&E)","IS.2.8.1-","Other",,,"FC_other_mwdcd_4_3_non-operating_income_and_expenses","0.00","-8000.00","0.00","8000.00","0.00","0.00","0.00","507.00","3148.00","2983.00","350.00","350.00","7338.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"172","Non-Operating Income & Expenses","Earnings b/f Interest, Taxes, Depr. & Amort.","FC_earnings_b_f_interest,_taxes,_depr._and_amort._mwdcd_4_3_non-operating_income_and_expenses","9","9","IS.3","EBITDA","IS.3.2","EBITDA","IS.3.2.1","EBITDA",,,"FC_earnings_b_f_interest,_taxes,_depr._and_amort._mwdcd_4_3_non-operating_income_and_expenses","143907.00","271188.00","864872.00","838290.00","721546.00","550962.00","264024.00","148536.00","705172.00","807523.00","306737.00","237912.00","5860667.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"173","Non-Operating Income & Expenses","EBITDA Less Replacement Reserve","FC_ebitda_less_replacement_reserve_mwdcd_4_3_non-operating_income_and_expenses","11","11.1","IS.3","NOI after Reserve","IS.3.3","NOI after Reserve","IS.3.3.1","NOI after Reserve",,,"FC_ebitda_less_replacement_reserve_mwdcd_4_3_non-operating_income_and_expenses","115888.00","238671.00","803314.00","774927.00","659468.00","503573.00","227105.00","115689.00","649893.00","746734.00","271798.00","205455.00","5312515.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"174",,"Total Operating Income","calc_FC_total_operating_income_mwdcd_4_3","2","2.5","IS.1","Revenue","IS.1.5","Total Operating Income",,,,,"calc_FC_total_operating_income_mwdcd_4_3","700545.00","812991.00","1538937.00","1584080.00","1481796.00","1254736.00","922992.00","811264.00","1379779.00","1501889.00","873466.00","811423.00","0.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"175",,"Total Department Expense","calc_FC_total_department_expense_mwdcd_4_3","3","3.5","IS.2","Department Expenses","IS.2.5","Total Department Expense",,,,,"calc_FC_total_department_expense_mwdcd_4_3","188565.00","187428.00","186416.00","240851.00","209415.00","195327.00","215998.00","233028.00","187519.00","187233.00","174967.00","184118.00","0.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"176",,"Department Profit (Loss)","calc_FC_department_profit_loss_mwdcd_4_3","4","4.1","IS.4","Department Profit (Loss","IS.4.1","Department Profit (Loss)",,,,,"calc_FC_department_profit_loss_mwdcd_4_3","511981.00","625563.00","1352521.00","1343230.00","1272381.00","1059408.00","706994.00","578236.00","1192260.00","1314656.00","698499.00","627305.00","0.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"177",,"Total Undistributed Expenses","calc_FC_total_undistributed_expenses_mwdcd_4_3","5","5.6","IS.5","Undistributed Expenses","IS.5.6","Total Undistributed Expenses",,,,,"calc_FC_total_undistributed_expenses_mwdcd_4_3","273118.00","261440.00","363377.00","381572.00","416869.00","377530.00","329206.00","318926.00","361967.00","381205.00","283510.00","283002.00","0.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"178",,"GOP Margin","calc_FC_gop_margin_mwdcd_4_3","6","6.2","IS.3","Gross Operating Profit","IS.3.5","GOP Margin",,,,,"calc_FC_gop_margin_mwdcd_4_3","34.10","44.79","64.27","60.71","57.73","54.34","40.93","31.96","60.18","62.15","47.51","42.43","0.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"179",,"Income before Non-Operating Inc&Exp","calc_FC_income_before_non-operating_incexp_mwdcd_4_3","7","7.2","IS.7","Income Before Non-Operating Inc & Exp","IS.7.1","Income before Non-Operating Inc&Exp",,,,,"calc_FC_income_before_non-operating_incexp_mwdcd_4_3","217845.00","339731.00","942598.00","914517.00","811058.00","644236.00","350099.00","234674.00","788834.00","888055.00","388785.00","319960.00","0.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"180",,"Total Non-Operating Income & Expenses","calc_FC_total_non-operating_income_and_expenses_mwdcd_4_3","8","8.4","IS.8","Total Non-Operating Income & Expenses","IS.8.4","Total Non-Operating Income & Expenses",,,,,"calc_FC_total_non-operating_income_and_expenses_mwdcd_4_3","73939.00","68543.00","77727.00","76227.00","89512.00","93274.00","86075.00","86139.00","83662.00","80532.00","82049.00","82049.00","0.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"181",,"NOI Margin","calc_FC_noi_margin_mwdcd_4_3","11","11.2","IS.11","NOI Margin","IS.11.1","NOI Margin",,,,,"calc_FC_noi_margin_mwdcd_4_3","16.54","29.36","52.20","48.92","44.50","40.13","24.61","14.26","47.10","49.72","31.12","25.32","0.00","2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"182",,"OCCUPANCY","FC_occupancy_rdipd_1_8","1","1.3","OD.1","Operational Data","OD.1.3","Occupancy %",,,,,"FC_occupancy_rdipd_1_8","62.00","77.00","87.00","83.00","83.00","82.00","71.00","81.00","86.00","63.00","62.00","63.00","75.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"183",,"AVERAGE RATE","FC_average_rate_rdipd_1_8","1","1.4","OD.1","Operational Data","OD.1.4","Average Rate",,,,,"FC_average_rate_rdipd_1_8","221.95","208.78","204.65","190.50","201.67","193.47","184.70","189.11","198.77","210.23","213.18","245.83","203.98","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"184",,"TOTAL REV PAR","FC_total_rev_par_rdipd_1_8","1","1.5","OD.1","Operational Data","OD.1.5","RevPar",,,,,"FC_total_rev_par_rdipd_1_8","154.63","182.69","204.45","182.72","192.42","181.56","149.02","172.28","194.10","153.34","152.75","176.88","174.66","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"185","FLOW THRU CALCULATION","SOLD ROOMS","FC_sold_rooms_rdipd_1_8_flow_thru_calculation","1","1.2","OD.1","Operational Data","OD.1.2","Rooms Sold",,,,,"FC_sold_rooms_rdipd_1_8_flow_thru_calculation","2762.00","3230.00","3896.00","3577.00","3724.00","3562.00","3169.00","3595.00","3720.00","2813.00","2679.00","2830.00","39557.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"186","FLOW THRU CALCULATION","TOTAL ROOMS","FC_total_rooms_rdipd_1_8_flow_thru_calculation","1","1.1","OD.1","Operational Data","OD.1.1","Available Rooms",,,,,"FC_total_rooms_rdipd_1_8_flow_thru_calculation","4464.00","4176.00","4464.00","4320.00","4464.00","4320.00","4464.00","4464.00","4320.00","4464.00","4320.00","4464.00","52704.00","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"187","SALES","Rooms","FC_rooms_rdipd_1_8_sales","2","2.1","IS.1","Revenue","IS.1.1","Room Revenue",,,,,"FC_rooms_rdipd_1_8_sales","613036.82","674359.56","797306.11","681401.28","751005.67","689146.30","585304.23","679847.31","739441.04","591367.73","571119.12","695687.02","8069022.19","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"188","SALES","F&B Outlet","FC_fb_outlet_rdipd_1_8_sales","2","2.2","IS.1","Revenue","IS.1.2","F&B Revenue",,,,,"FC_fb_outlet_rdipd_1_8_sales","282.50","286.00","114.82","-115.35","487.90","0.00","0.00","0.00","222.25","0.00","0.00","0.00","1278.12","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
"189","SALES","Banquet","FC_banquet_rdipd_1_8_sales","2","2.4","IS.1","Revenue","IS.1.4","Miscellaneous Revenue",,,,,"FC_banquet_rdipd_1_8_sales","3380.00","916.00","324.00","0.00","1951.60","0.00","0.00","0.00","2080.53","2012.50","1982.47","2024.40","14671.50","2024","Residence Inn Pasadena","2024-12-21 12:15:03"
