"id","DC_BD_Assets_Type","DC_BD_Assets_Name","SQL_BD_Account_ID","SQL_Heading_Sequence","SQL_Sequence","SQL_Account_Name_Code","SQL_Account_Name","SQL_Account_Category_Order_Code","SQL_Account_Category_Order","SUB_Account_Category_Order_Code","SUB_Account_Category_Order","SQL_Account_Group_Name_Code","SQL_Account_Group_Name","Accountnumber_ID","January","February","March","April","May","June","July","August","September","October","November","December","Total","Por_Per_Rev","Account_Year","SQL_Property","updated_at"
"121","DEPARTMENT EXPENSES","OTHER OPERATED DEPARTMENTS","BD_other_operated_departments_hginnb_5_11_department_expenses","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense","IS.2.3.1","Other Expense",,,"BD_other_operated_departments_hginnb_5_11_department_expenses","6351.00","9266.00","14330.00","16059.00","16723.00","15855.00","14917.00","13312.00","15214.00","17126.00","14923.00","10904.00","164980.00",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"122","UNDISTRIBUTED OPERATING EXPENSES","ADMINISTRATIVE & GENERAL","BD_administrative_and_general_hginnb_5_11_undistributed_operating_expenses","5","5.1","IS.2","Undistributed Expenses","IS.2.4","A&G Expense","IS.2.4.1","Administrative & General",,,"BD_administrative_and_general_hginnb_5_11_undistributed_operating_expenses","35722.98","35308.98","50121.00","53129.00","59898.00","57715.00","49618.96","45097.00","55985.96","58176.00","49422.49","44103.00","594298.37",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"123","UNDISTRIBUTED OPERATING EXPENSES","INFORMATION & TELECOMMUNICATIONS","BD_information_and_telecommunications_hginnb_5_11_undistributed_operating_expenses","5","5.2","IS.2","Undistributed Expenses","IS.2.5","Information & Telecommunications","IS.2.5.8","TOTAL I&TS CONT.",,,"BD_information_and_telecommunications_hginnb_5_11_undistributed_operating_expenses","7371.00","7371.00","7371.00","7371.00","7371.00","8712.00","8371.00","7371.00","7371.00","7371.00","7371.00","7371.00","90793.00",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"124","UNDISTRIBUTED OPERATING EXPENSES","SALES & MARKETING","BD_sales_and_marketing_hginnb_5_11_undistributed_operating_expenses","5","5.3","IS.2","Undistributed Expenses","IS.2.6","Sales & Marketing","IS.2.6.1","Sales & Marketing",,,"BD_sales_and_marketing_hginnb_5_11_undistributed_operating_expenses","73913.98","82142.00","138741.00","155872.00","182139.00","168340.00","131540.00","119383.00","163382.00","175403.00","132670.00","106479.00","1630004.98",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"125","UNDISTRIBUTED OPERATING EXPENSES","PROPERTY OPERATIONS & MAINTENANCE","BD_property_operations_and_maintenance_hginnb_5_11_undistributed_operating_expenses","5","5.4","IS.2","Undistributed Expenses","IS.2.7","Maintenance","IS.2.7.5","Hourly Wages",,,"BD_property_operations_and_maintenance_hginnb_5_11_undistributed_operating_expenses","55695.98","37610.00","38134.00","40678.00","41475.00","37462.00","41675.00","38537.00","37904.00","41343.00","42271.00","41010.00","493794.98",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"126","UNDISTRIBUTED OPERATING EXPENSES","UTILITIES","BD_utilities_hginnb_5_11_undistributed_operating_expenses","5","5.5","IS.2","Undistributed Expenses","IS.2.14","Utilities","IS.2.14.1","Utilities",,,"BD_utilities_hginnb_5_11_undistributed_operating_expenses","24670.00","36122.00","49827.00","41994.00","36516.00","34084.00","46428.50","45825.00","52410.00","40242.00","34550.50","41466.00","484135.00",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"127","UNDISTRIBUTED OPERATING EXPENSES","GROSS OPERATING PROFIT","BD_gross_operating_profit_hginnb_5_11_undistributed_operating_expenses","6","6.1","IS.3","Gross Operating Profit","IS.3.1","GOP","IS.3.1.1","Gross Operating Profit",,,"BD_gross_operating_profit_hginnb_5_11_undistributed_operating_expenses","-46762.70","90323.55","434647.00","550964.00","704527.05","644480.02","354671.55","280225.02","564349.05","679555.53","382170.05","175539.53","4814689.65",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"128","UNDISTRIBUTED OPERATING EXPENSES","MANAGEMENT FEES","BD_management_fees_hginnb_5_11_undistributed_operating_expenses","7","7.1","IS.2","Management Fees","IS.2.13","Management Fees","IS.2.13.1","Management Fees",,,"BD_management_fees_hginnb_5_11_undistributed_operating_expenses","8390.18","12910.89","27479.58","32894.10","39070.64","36177.11","26265.36","22831.83","34143.62","38257.59","26687.49","18530.40","323638.78",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"129","NON-OPERATING INCOME & EXPENSES","PROPERTY & OTHER TAXES","BD_property_and_other_taxes_hginnb_5_11_non-operating_income_and_expenses","8","8.1","IS.2","Non-Operating Income & Expenses","IS.2.8","Property & Other Taxes","IS.2.8.11","Property & Other Taxes",,,"BD_property_and_other_taxes_hginnb_5_11_non-operating_income_and_expenses","30880.00","30880.00","30880.00","30880.00","30880.00","30880.00","31807.00","31807.00","31807.00","31807.00","31807.00","31807.00","376122.00",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"130","NON-OPERATING INCOME & EXPENSES","INSURANCE","BD_insurance_hginnb_5_11_non-operating_income_and_expenses","8","8.2","IS.2","Non-Operating Income & Expenses","IS.2.8","Insurance","IS.2.8.13","Insurance General",,,"BD_insurance_hginnb_5_11_non-operating_income_and_expenses","14482.00","14482.00","14482.00","14482.00","14482.00","14482.00","14482.00","14482.00","14482.00","15293.00","15655.00","15655.00","176941.00",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"131","NON-OPERATING INCOME & EXPENSES","EBITDA","BD_ebitda_hginnb_5_11_non-operating_income_and_expenses","9","9","IS.3","EBITDA","IS.3.2","EBITDA","IS.3.2.1","EBITDA",,,"BD_ebitda_hginnb_5_11_non-operating_income_and_expenses","-100514.88","32050.66","361805.42","472707.90","620094.42","562940.92","282117.19","211104.19","483916.44","594197.94","308020.56","109547.13","3937987.87",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"132","INTEREST, DEPRECIATION & AMORTIZATION","REPLACEMENT RESERVE","BD_replacement_reserve_hginnb_5_11_interest,_depreciation_and_amortization","10","10","IS.2","Replacement Reserve","IS.2.12","Replacement Reserve","IS.2.12.1","Replacement Reserve",,,"BD_replacement_reserve_hginnb_5_11_interest,_depreciation_and_amortization","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"133","INTEREST, DEPRECIATION & AMORTIZATION","REPLACEMENT RESERVE","BD_replacement_reserve_hginnb_5_11_interest,_depreciation_and_amortization","10","10","IS.2","Replacement Reserve","IS.2.12","Replacement Reserve","IS.2.12.1","Replacement Reserve",,,"BD_replacement_reserve_hginnb_5_11_interest,_depreciation_and_amortization","25644.04","25644.04","25644.04","25644.04","25644.04","25644.04","25644.04","25644.04","25644.04","25644.04","25644.04","25644.04","307728.51",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"134","INTEREST, DEPRECIATION & AMORTIZATION","NOI AFTER RESERVE","BD_noi_after_reserve_hginnb_5_11_interest,_depreciation_and_amortization","11","11.1","IS.3","NOI after Reserve","IS.3.3","NOI after Reserve","IS.3.3.1","NOI after Reserve",,,"BD_noi_after_reserve_hginnb_5_11_interest,_depreciation_and_amortization","-126158.92","6406.62","336161.38","447063.86","594450.37","537296.87","256473.15","185460.15","458272.39","568553.90","282376.52","83903.09","3630259.36",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"135",,"Total Operating Income","calc_BD_total_operating_income_hginnb_5_11","2","2.5","IS.2","Revenue","IS.2.5","Total Operating Income",,,,,"calc_BD_total_operating_income_hginnb_5_11","279672.68","430363.00","915986.00","1096470.00","1302354.50","1205903.50","875512.00","761061.00","1138120.50","1275253.00","889583.00","617680.00","10787959.18",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"136",,"Total Department Expense","calc_BD_total_department_expense_hginnb_5_11","3","3.5","IS.2","Department Expenses","IS.2.5","Total Department Expense",,,,,"calc_BD_total_department_expense_hginnb_5_11","129061.44","141485.47","197145.00","246462.00","270428.45","255110.48","243206.99","224622.98","256718.49","273162.47","241127.96","201711.47","2680243.20",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"137",,"Department Profit (Loss)","calc_BD_department_profit_loss_hginnb_5_11","4","4.1","IS.4","Department Profit (Loss)","IS.4.1","Department Profit (Loss)",,,,,"calc_BD_department_profit_loss_hginnb_5_11","150611.24","288877.53","718841.00","850008.00","1031926.05","950793.02","632305.01","536438.02","881402.01","1002090.53","648455.04","415968.53","8107715.98",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"138",,"Total Undistributed Expenses","calc_BD_total_undistributed_expenses_hginnb_5_11","5","5.6","IS.5","Undistributed Expenses","IS.5.6","Total Undistributed Expenses",,,,,"calc_BD_total_undistributed_expenses_hginnb_5_11","197373.94","198553.98","284194.00","299044.00","327399.00","306313.00","277633.46","256213.00","317052.96","322535.00","266284.99","240429.00","3293026.33",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"139",,"GOP Margin","calc_BD_gop_margin_hginnb_5_11","6","6.2","IS.6","Gross Operating Profit","IS.6.1","GOP Margin",,,,,"calc_BD_gop_margin_hginnb_5_11","-16.72","20.99","47.45","50.25","54.10","53.44","40.51","36.82","49.59","53.29","42.96","28.42","44.63",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"140",,"Income before Non-Operating Inc&Exp","calc_BD_income_before_non-operating_incexp_hginnb_5_11","7","7.2","IS.7","Income Before Non-Operating Inc & Exp","IS.7.1","Income before Non-Operating Inc&Exp",,,,,"calc_BD_income_before_non-operating_incexp_hginnb_5_11","-55152.88","77412.66","407167.42","518069.90","665456.41","608302.91","328406.19","257393.19","530205.43","641297.94","355482.56","157009.13","4491050.87",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"141",,"Total Non-Operating Income & Expenses","calc_BD_total_non-operating_income_and_expenses_hginnb_5_11","8","8.4","IS.8","Total Non-Operating Income & Expenses","IS.8.4","Total Non-Operating Income & Expenses",,,,,"calc_BD_total_non-operating_income_and_expenses_hginnb_5_11","45362.00","45362.00","45362.00","45362.00","45362.00","45362.00","46289.00","46289.00","46289.00","47100.00","47462.00","47462.00","553063.00",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"142",,"NOI Margin","calc_BD_noi_margin_hginnb_5_11","11","11.2","IS.11","NOI Margin","IS.11.1","NOI Margin",,,,,"calc_BD_noi_margin_hginnb_5_11","-45.11","1.49","36.70","40.77","45.64","44.56","29.29","24.37","40.27","44.58","31.74","13.58","33.65",,"2024","Hilton Garden Inn Bethesda","2024-12-21 12:15:03"
"143",,"ROOMS","BD_rooms_marttcc_5_13","2","2.1","IS.1","Revenue","IS.1.1","Room Revenue","IS.1.1.1","Rooms","-",,"BD_rooms_marttcc_5_13","992879.00","1342976.00","1897366.00","1991075.00","2167337.00","1969139.00","1540928.00","1273157.00","1927811.00","2254733.00","1275675.00","1011077.00","19644153.00","0.78","2024","Marriott Crystal City","2024-12-21 12:15:03"
"144",,"TOT FOOD & BEV","BD_tot_food_and_bev_marttcc_5_13","2","2.2","IS.1","Revenue","IS.1.2","F&B Revenue","IS.1.2.1","Food & Beverage","IS.1.2.1.1",,"BD_tot_food_and_bev_marttcc_5_13","197741.00","272441.00","375491.00","432629.00","513852.00","443568.00","252627.00","202102.00","421118.00","439440.00","318266.00","225144.00","4094419.00","0.16","2024","Marriott Crystal City","2024-12-21 12:15:03"
"145",,"MISCELLANEOUS INCOME","BD_miscellaneous_income_marttcc_5_13","2","2.4","IS.1","Revenue","IS.1.4","Miscellaneous Revenue","IS.1.4.1","Miscellaneous",,,"BD_miscellaneous_income_marttcc_5_13","9033.00","13960.00","19849.00","19765.00","25309.00","25348.00","18849.00","14334.00","18691.00","22431.00","12454.00","9258.00","209281.00","0.01","2024","Marriott Crystal City","2024-12-21 12:15:03"
"146",,"OTHER DEPTS.","BD_other_depts._marttcc_5_13","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue","IS.1.3.1","Total Other Operated Departments","-",,"BD_other_depts._marttcc_5_13","74838.00","84996.00","81362.00","110736.00","90257.00","85173.00","111772.00","108012.00","93866.00","91926.00","69526.00","62265.00","1064729.00","0.04","2024","Marriott Crystal City","2024-12-21 12:15:03"
"147","DEPARTMENT PROFIT","ROOMS","BD_rooms_marttcc_5_13_department_profit","3","3.1","IS.2","Department Expenses","IS.2.1","Room Expense","IS.2.1.3","Cleaning Supplies",,,"BD_rooms_marttcc_5_13_department_profit","670133.00","1000474.00","1523182.00","1612498.00","1795839.00","1589552.00","1160831.00","912455.00","1558795.00","1867687.00","938238.00","716272.00","15345956.00","0.78","2024","Marriott Crystal City","2024-12-21 12:15:03"
"148","DEPARTMENT PROFIT","TOT FOOD & BEV","BD_tot_food_and_bev_marttcc_5_13_department_profit","3","3.2","IS.2","Department Expenses","IS.2.2","F&B Expense","IS.2.2.2","Food Cost",,,"BD_tot_food_and_bev_marttcc_5_13_department_profit","-59737.00","13907.00","58939.00","109618.00","202575.00","122230.00","-12612.00","-43479.00","108186.00","113826.00","42622.00","-15223.00","640852.00","0.16","2024","Marriott Crystal City","2024-12-21 12:15:03"
"149","DEPARTMENT PROFIT","MISCELLANEOUS INCOME","BD_miscellaneous_income_marttcc_5_13_department_profit","3","3.4","IS.2","Department Expenses","IS.2.4","Miscellaneous Expense","IS.2.4.1","Miscellaneous","-",,"BD_miscellaneous_income_marttcc_5_13_department_profit","9033.00","13960.00","19849.00","19765.00","25309.00","25348.00","18849.00","14334.00","18691.00","22431.00","12454.00","9258.00","209281.00","1.00","2024","Marriott Crystal City","2024-12-21 12:15:03"
"150","DEPARTMENT PROFIT","OTHER DEPTS.","BD_other_depts._marttcc_5_13_department_profit","3","3.3","IS.2","Department Expenses","IS.2.3","Other Expense","IS.2.3.1","Other Expense","-",,"BD_other_depts._marttcc_5_13_department_profit","58800.00","68530.00","63695.00","93992.00","73730.00","68889.00","94794.00","90940.00","76794.00","75380.00","53456.00","45903.00","864903.00","0.81","2024","Marriott Crystal City","2024-12-21 12:15:03"
"151","UNDISTRIBUTED OPERATING EXP","ADMINISTRATIVE & GENERAL","BD_administrative_and_general_marttcc_5_13_undistributed_operating_exp","5","5.1","IS.2","Undistributed Expenses","IS.2.4","A&G Expense","IS.2.4.1","Administrative & General","-",,"BD_administrative_and_general_marttcc_5_13_undistributed_operating_exp","224563.00","214589.00","262714.00","251199.00","294794.00","254762.00","257960.00","236774.00","267885.00","274335.00","234955.00","223828.00","2998358.00","0.12","2024","Marriott Crystal City","2024-12-21 12:15:03"
"152","UNDISTRIBUTED OPERATING EXP","INFORMATION & TELECOM SYSTEMS","BD_information_and_telecom_systems_marttcc_5_13_undistributed_operating_exp","5","5.2","IS.2","Undistributed Expenses","IS.2.5","Information & Telecommunications","IS.2.5.8","TOTAL I&TS CONT.",,,"BD_information_and_telecom_systems_marttcc_5_13_undistributed_operating_exp","43392.00","25829.00","17945.00","22582.00","16584.00","16701.00","35226.00","15696.00","18978.00","18301.00","23681.00","20232.00","275147.00","0.01","2024","Marriott Crystal City","2024-12-21 12:15:03"
"153","UNDISTRIBUTED OPERATING EXP","UTILITIES","BD_utilities_marttcc_5_13_undistributed_operating_exp","5","5.5","IS.2","Undistributed Expenses","IS.2.14","Utilities","IS.2.14.1","Utilities","-",,"BD_utilities_marttcc_5_13_undistributed_operating_exp","55954.00","55152.00","58093.00","46292.00","46825.00","55452.00","64751.00","65199.00","51057.00","48025.00","49739.00","59327.00","655866.00","0.03","2024","Marriott Crystal City","2024-12-21 12:15:03"
"154","UNDISTRIBUTED OPERATING EXP","PROPERTY OPERATION & MAINT.","BD_property_operation_and_maint._marttcc_5_13_undistributed_operating_exp","5","5.4","IS.2","Undistributed Expenses","IS.2.7","Maintenance","IS.2.7.5","Hourly Wages","IS.2.7.5.1",,"BD_property_operation_and_maint._marttcc_5_13_undistributed_operating_exp","135651.00","109478.00","120572.00","119779.00","120966.00","125257.00","116918.00","121429.00","117538.00","120402.00","121010.00","119530.00","1448530.00","0.06","2024","Marriott Crystal City","2024-12-21 12:15:03"
"155","UNDISTRIBUTED OPERATING EXP","SALES & MARKETING","BD_sales_and_marketing_marttcc_5_13_undistributed_operating_exp","5","5.3","IS.2","Undistributed Expenses","IS.2.6","Sales & Marketing","IS.2.6.1","Sales & Marketing",,,"BD_sales_and_marketing_marttcc_5_13_undistributed_operating_exp","164870.00","121456.00","131719.00","243205.00","175429.00","176379.00","159049.00","143305.00","179472.00","189689.00","176188.00","147468.00","2008229.00","0.08","2024","Marriott Crystal City","2024-12-21 12:15:03"
"156","UNDISTRIBUTED OPERATING EXP","GROSS OPERATING PROFIT","BD_gross_operating_profit_marttcc_5_13_undistributed_operating_exp","6","6.1","IS.3","Gross Operating Profit","IS.3.1","GOP","IS.3.1.1","Gross Operating Profit",,,"BD_gross_operating_profit_marttcc_5_13_undistributed_operating_exp","51599.00","577479.00","1084989.00","1164642.00","1453086.00","1186611.00","638128.00","398121.00","1134708.00","1435976.00","446462.00","188266.00","9760067.00","0.39","2024","Marriott Crystal City","2024-12-21 12:15:03"
"157","UNDISTRIBUTED OPERATING EXP","TOTAL MANAGEMENT FEES","BD_total_management_fees_marttcc_5_13_undistributed_operating_exp","7","7.1","IS.2","Management Fees","IS.2.13","Management Fees","IS.2.13.1","Management Fees","-",,"BD_total_management_fees_marttcc_5_13_undistributed_operating_exp","10009.00","280296.00","544396.00","587783.00","735586.00","598176.00","299966.00","209421.00","575814.00","728256.00","213039.00","78115.00","4860857.00","0.19","2024","Marriott Crystal City","2024-12-21 12:15:03"
"158","UNDISTRIBUTED OPERATING EXP","EBITDA","BD_ebitda_marttcc_5_13_undistributed_operating_exp","9","9","IS.3","EBITDA","IS.3.2","EBITDA","IS.3.2.1","EBITDA","-",,"BD_ebitda_marttcc_5_13_undistributed_operating_exp","-70273.00","172144.00","394605.00","426552.00","559446.00","438986.00","178454.00","108534.00","420901.00","551677.00","107565.00","-4163.00","3284428.00","0.13","2024","Marriott Crystal City","2024-12-21 12:15:03"
"159","UNDISTRIBUTED OPERATING EXP","REPLACEMENT RESERVE","BD_replacement_reserve_marttcc_5_13_undistributed_operating_exp","10","10","IS.2","Replacement Reserve","IS.2.12","Replacement Reserve","IS.2.12.1","Replacement Reserve","-",,"BD_replacement_reserve_marttcc_5_13_undistributed_operating_exp","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","Marriott Crystal City","2024-12-21 12:15:03"
"160","UNDISTRIBUTED OPERATING EXP","Retained Profit/(Loss)","BD_retained_profit_loss_marttcc_5_13_undistributed_operating_exp","11","11.1","IS.3","NOI after Reserve","IS.3.3","NOI after Reserve","IS.3.3.1","NOI after Reserve","-",,"BD_retained_profit_loss_marttcc_5_13_undistributed_operating_exp","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2024","Marriott Crystal City","2024-12-21 12:15:03"
"161","KEY STATISTICS","ROOMS SOLD","BD_rooms_sold_marttcc_5_13_key_statistics","1","1.2","OD.1","Operational Data","OD.1.2","Rooms Sold",,,,,"BD_rooms_sold_marttcc_5_13_key_statistics","5404.00","6959.00","8013.00","8375.00","8487.00","8236.00","8388.00","7462.00","7959.00","9243.00","6732.00","5906.00","91164.00",,"2024","Marriott Crystal City","2024-12-21 12:15:03"
"162","KEY STATISTICS","TOTAL OCCUPANCY","BD_total_occupancy_marttcc_5_13_key_statistics","1","1.3","OD.1","Operational Data","OD.1.3","Occupancy %",,,,,"BD_total_occupancy_marttcc_5_13_key_statistics","0.50","0.69","0.74","0.80","0.79","0.79","0.78","0.69","0.76","0.86","0.65","0.55","0.72",,"2024","Marriott Crystal City","2024-12-21 12:15:03"
"163","KEY STATISTICS","AVERAGE RATE","BD_average_rate_marttcc_5_13_key_statistics","1","1.4","OD.1","Operational Data","OD.1.4","Average Rate",,,,,"BD_average_rate_marttcc_5_13_key_statistics","183.73","192.98","236.79","237.74","255.37","239.09","183.71","170.62","242.22","243.94","189.49","171.19","215.48",,"2024","Marriott Crystal City","2024-12-21 12:15:03"
"164","KEY STATISTICS","TOTAL REVPAR","BD_total_revpar_marttcc_5_13_key_statistics","1","1.5","OD.1","Operational Data","OD.1.5","RevPar",,,,,"BD_total_revpar_marttcc_5_13_key_statistics","119.40","171.96","222.78","247.79","261.99","244.66","180.73","150.05","238.10","262.63","162.12","122.38","198.59",,"2024","Marriott Crystal City","2024-12-21 12:15:03"
"165",,"Total Operating Income","calc_BD_total_operating_income_marttcc_5_13","2","2.5","IS.2","Revenue","IS.2.5","Total Operating Income",,,,,"calc_BD_total_operating_income_marttcc_5_13","1274491.00","1714373.00","2374068.00","2554205.00","2796755.00","2523228.00","1924176.00","1597605.00","2461486.00","2808530.00","1675921.00","1307744.00","25012582.00",,"2024","Marriott Crystal City","2024-12-21 12:15:03"
"166",,"Total Department Expense","calc_BD_total_department_expense_marttcc_5_13","3","3.5","IS.2","Department Expenses","IS.2.5","Total Department Expense",,,,,"calc_BD_total_department_expense_marttcc_5_13","678229.00","1096871.00","1665665.00","1835873.00","2097453.00","1806019.00","1261862.00","974250.00","1762466.00","2079324.00","1046770.00","756210.00","17060992.00",,"2024","Marriott Crystal City","2024-12-21 12:15:03"
"167",,"Department Profit (Loss)","calc_BD_department_profit_loss_marttcc_5_13","4","4.1","IS.4","Department Profit (Loss)","IS.4.1","Department Profit (Loss)",,,,,"calc_BD_department_profit_loss_marttcc_5_13","596262.00","617502.00","708403.00","718332.00","699302.00","717209.00","662314.00","623355.00","699020.00","729206.00","629151.00","551534.00","7951590.00",,"2024","Marriott Crystal City","2024-12-21 12:15:03"
"168",,"Total Undistributed Expenses","calc_BD_total_undistributed_expenses_marttcc_5_13","5","5.6","IS.5","Undistributed Expenses","IS.5.6","Total Undistributed Expenses",,,,,"calc_BD_total_undistributed_expenses_marttcc_5_13","624430.00","526504.00","591043.00","683057.00","654598.00","628551.00","633904.00","582403.00","634930.00","650752.00","605573.00","570385.00","7386130.00",,"2024","Marriott Crystal City","2024-12-21 12:15:03"
"169",,"GOP Margin","calc_BD_gop_margin_marttcc_5_13","6","6.2","IS.6","Gross Operating Profit","IS.6.1","GOP Margin",,,,,"calc_BD_gop_margin_marttcc_5_13","4.05","33.68","45.70","45.60","51.96","47.03","33.16","24.92","46.10","51.13","26.64","14.40","39.02",,"2024","Marriott Crystal City","2024-12-21 12:15:03"
"170",,"Income before Non-Operating Inc&Exp","calc_BD_income_before_non-operating_incexp_marttcc_5_13","7","7.2","IS.7","Income Before Non-Operating Inc & Exp","IS.7.1","Income before Non-Operating Inc&Exp",,,,,"calc_BD_income_before_non-operating_incexp_marttcc_5_13","41590.00","297183.00","540593.00","576859.00","717500.00","588435.00","338162.00","188700.00","558894.00","707720.00","233423.00","110151.00","4899210.00",,"2024","Marriott Crystal City","2024-12-21 12:15:03"
"171",,"Total Non-Operating Income & Expenses","calc_BD_total_non-operating_income_and_expenses_marttcc_5_13","8","8.4","IS.8","Total Non-Operating Income & Expenses","IS.8.4","Total Non-Operating Income & Expenses",,,,,"calc_BD_total_non-operating_income_and_expenses_marttcc_5_13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",,"2024","Marriott Crystal City","2024-12-21 12:15:03"
"172",,"NOI Margin","calc_BD_noi_margin_marttcc_5_13","11","11.2","IS.11","NOI Margin","IS.11.1","NOI Margin",,,,,"calc_BD_noi_margin_marttcc_5_13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00",,"2024","Marriott Crystal City","2024-12-21 12:15:03"
"173","DCM - Moxy Washington DC Downtown","TTL ROOMS SOLD","BD_ttl_rooms_sold_mwdcd_4_3_dcm_moxy_washington_dc_downtown","1","1.2","OD.1","Operational Data","OD.1.2","Rooms Sold",,,,,"BD_ttl_rooms_sold_mwdcd_4_3_dcm_moxy_washington_dc_downtown","4216.00","4389.00","5306.00","5389.00","5301.00","5143.00","5166.00","5117.00","5142.00","5254.00","4859.00","4520.00","59802.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"174","DCM - Moxy Washington DC Downtown","OCCUPANCY","BD_occupancy_mwdcd_4_3_dcm_moxy_washington_dc_downtown","1","1.3","OD.1","Operational Data","OD.1.3","Occupancy %",,,,,"BD_occupancy_mwdcd_4_3_dcm_moxy_washington_dc_downtown","68.00","75.70","85.60","89.80","85.50","85.70","83.30","82.50","85.70","84.70","81.00","72.90","81.70",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"175","DCM - Moxy Washington DC Downtown","AVERAGE DAILY RATE","BD_average_daily_rate_mwdcd_4_3_dcm_moxy_washington_dc_downtown","1","1.4","OD.1","Operational Data","OD.1.4","Average Rate",,,,,"BD_average_daily_rate_mwdcd_4_3_dcm_moxy_washington_dc_downtown","156.37","204.92","284.34","300.35","290.45","250.92","190.99","173.75","277.42","292.25","227.83","170.48","237.98",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"176","DCM - Moxy Washington DC Downtown","TOTAL REVPAR","BD_total_revpar_mwdcd_4_3_dcm_moxy_washington_dc_downtown","1","1.5","OD.1","Operational Data","OD.1.5","RevPar",,,,,"BD_total_revpar_mwdcd_4_3_dcm_moxy_washington_dc_downtown","160.12","227.32","331.51","372.86","370.72","325.85","255.58","230.81","350.01","322.27","243.95","191.39","281.71",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"177","OPERATING REVENUE","Rooms","BD_rooms_mwdcd_4_3_operating_revenue","2","2.1","IS.1","Revenue","IS.1.1","Room Revenue","IS.1.1.1","Rooms",,,"BD_rooms_mwdcd_4_3_operating_revenue","659241.00","899394.00","1508686.00","1618602.00","1539694.00","1290505.00","986633.00","889092.00","1426510.00","1535465.00","1107033.00","770592.00","14231446.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"178","OPERATING REVENUE","Moxy F&B","BD_moxy_fb_mwdcd_4_3_operating_revenue","2","2.2","IS.1","Revenue","IS.1.2","F&B Revenue","IS.1.2.1","Food & Beverage",,,"BD_moxy_fb_mwdcd_4_3_operating_revenue","52907.00","54326.00","69399.00","70626.00","73903.00","64745.00","62925.00","65040.00","64811.00","69826.00","62465.00","55791.00","766762.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"179","OPERATING REVENUE","Atlas F&B","BD_atlas_fb_mwdcd_4_3_operating_revenue","2","2.2","IS.1","Revenue","IS.1.2","F&B Revenue","IS.1.2.1","Food & Beverage",,,"BD_atlas_fb_mwdcd_4_3_operating_revenue","263194.19","346572.75","455322.89","525671.64","662981.26","578610.54","513704.24","455741.76","587498.40","371045.02","274124.10","341534.06","5376000.83",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
"180","OPERATING REVENUE","Other Operated Departments","BD_other_operated_departments_mwdcd_4_3_operating_revenue","2","2.3","IS.1","Revenue","IS.1.3","Other Revenue","IS.1.3.1","Total Other Operated Departments",,,"BD_other_operated_departments_mwdcd_4_3_operating_revenue","17430.00","18145.00","21936.00","22279.00","21915.00","21262.00","21357.00","21155.00","21258.00","21721.00","20088.00","18687.00","247233.00",,"2024","Moxy Washington DC Downtown","2024-12-21 12:15:03"
